sal_code,sal_name,total_population,completed_year12,total_labour_force,total_unemployed,median_weekly_household_income,served_in_adf,total_volunteers
10001,Aarons Pass,33,8,12,0,1625,6,9
10002,Abbotsbury,4200,2101,2096,59,2621,19,292
10003,Abbotsford (NSW),5431,3039,2797,100,2263,92,672
10004,Abercrombie,1127,476,629,13,2202,20,155
10005,Abercrombie River,21,8,10,0,1024,0,0
10006,Aberdare,2542,652,1167,85,1251,62,198
10007,Aberdeen (NSW),2051,480,982,31,1426,44,200
10008,Aberfoyle,121,48,68,0,2250,0,29
10009,Aberglasslyn,6552,2141,3515,145,2147,161,505
10010,Abermain,2544,535,1179,83,1449,54,175
10011,Abernethy,317,81,174,5,2069,0,34
10012,Abington (NSW),29,9,17,0,2374,0,8
10013,Acacia Creek,30,10,12,0,949,4,3
10014,Acacia Gardens,3668,2051,2080,93,2796,31,315
10015,Adaminaby,339,95,144,13,954,11,55
10016,Adamstown,6335,3087,3643,159,1875,225,751
10017,Adamstown Heights,5621,2745,2947,86,2325,157,765
10018,Adelong,938,275,437,26,1158,29,184
10019,Adjungbilly,101,27,47,0,2312,0,14
10020,Afterlee,32,3,11,0,762,6,9
10021,Agnes Banks,996,304,518,7,2454,19,82
10022,Airds,3265,843,842,115,944,31,109
10023,Akolele,165,46,54,9,778,3,29
10024,Albert,77,23,41,0,1187,0,21
10025,Albion Park,13826,4406,7167,231,1938,255,1119
10026,Albion Park Rail,6920,1835,3085,158,1411,143,537
10027,Albury,4955,2454,2635,107,1601,139,940
10028,Aldavilla,1443,177,307,11,1222,22,97
10029,Alectown,151,50,86,0,1803,4,43
10030,Alexandria,9649,7145,6964,227,2654,224,1157
10031,Alfords Point,3131,1623,1664,38,2969,43,309
10032,Alfredtown,80,30,57,0,2624,4,18
10033,Alice,4,3,0,0,1074,0,0
10034,Alison (Central Coast - NSW),85,29,40,3,2249,3,8
10035,Alison (Dungog - NSW),99,42,51,4,1375,4,23
10036,Allambie Heights,7317,3812,3720,121,2890,130,1033
10037,Allandale (NSW),68,23,41,0,2124,3,0
10038,Allawah,5351,3434,2823,169,1774,26,379
10039,Alleena,60,20,35,0,1875,0,17
10040,Allgomera,139,36,68,11,949,0,14
10041,Allworth,190,33,83,0,1213,9,16
10042,Allynbrook,54,21,28,0,1083,4,12
10043,Alma Park,58,11,29,0,1833,0,17
10044,Alpine,141,73,81,0,2291,6,35
10045,Alstonvale,431,201,239,10,2038,11,79
10046,Alstonville,5912,2262,2548,87,1312,206,978
10047,Alumy Creek,86,25,42,0,1281,0,9
10048,Amaroo (NSW),44,17,21,0,2166,0,0
10049,Ambarvale,7254,2459,2844,240,1431,99,408
10050,Amosfield,40,11,15,0,1249,0,9
10051,Anabranch North,6,3,7,0,3250,0,5
10052,Anabranch South,41,14,21,0,1125,0,12
10053,Anambah,64,16,28,0,3049,0,13
10054,Ando,49,19,29,3,2250,0,6
10055,Anembo,72,27,37,0,2083,4,8
10056,Angledale,167,53,82,0,1474,4,37
10057,Angledool,34,7,10,0,825,0,7
10058,Anglers Reach,78,26,22,0,900,14,18
10059,Angourie,192,103,92,3,1437,4,39
10060,Angus,384,92,167,6,1890,9,14
10061,Anna Bay,4221,1306,1714,76,1189,192,512
10062,Annandale (NSW),9487,6273,5618,215,2683,113,1431
10063,Annangrove,1472,669,785,30,2650,21,182
10064,Appin (NSW),3213,1005,1606,43,2423,44,274
10065,Apple Tree Flat,46,14,22,0,1375,0,6
10066,Appleby,35,7,21,0,1812,0,6
10067,Appletree Flat,16,7,11,0,1375,0,3
10068,Apsley (NSW),116,40,53,0,1437,0,33
10069,Arable,21,5,8,0,3125,0,0
10070,Arakoon,445,172,180,12,1321,18,78
10071,Araluen (NSW),209,82,100,5,1042,13,56
10072,Aratula (NSW),4,3,3,0,0,0,0
10073,Arcadia (NSW),1475,729,758,18,2659,32,258
10074,Arcadia Vale,1431,469,709,40,1550,42,165
10075,Ardglen,50,8,23,0,1041,3,3
10076,Arding,182,83,93,0,1328,6,46
10077,Ardlethan,472,114,174,18,786,16,107
10078,Argalong,16,0,11,0,1999,0,3
10079,Argenton,1352,367,621,33,1318,30,73
10080,Argents Hill,207,59,87,9,1042,8,31
10081,Argoon,16,7,5,0,2750,0,4
10082,Ariah Park,439,115,188,7,1010,21,164
10083,Arkell,36,13,25,0,1593,0,4
10084,Arkstone,24,0,12,0,1625,0,0
10085,Armatree,164,48,68,4,1333,0,37
10086,Armidale,23967,10795,11030,627,1432,500,3935
10087,Arncliffe,12023,6460,5814,340,2046,95,785
10088,Arndell Park,6,3,6,0,1375,0,0
10089,Arrawarra,591,184,181,18,718,29,73
10090,Arrawarra Headland,615,296,314,9,1605,20,115
10091,Artarmon,9417,6191,5133,246,2420,95,1266
10092,Arthurville,47,21,28,0,2166,0,7
10093,Arumpo,40,14,21,0,1843,0,5
10094,Ashbury,3353,1794,1653,51,2571,30,358
10095,Ashby (NSW),316,106,94,3,1113,12,55
10096,Ashby Heights,292,107,117,11,1233,9,50
10097,Ashby Island,18,3,11,0,1024,0,0
10098,Ashcroft,3634,1108,957,120,1089,30,139
10099,Ashfield (NSW),23012,15147,12728,802,1888,196,2268
10100,Ashford (NSW),659,134,247,24,855,20,85
10101,Ashley,351,86,184,5,1899,3,38
10102,Ashmont,3747,845,1430,127,994,107,268
10103,Ashtonfield,4589,1709,2484,88,2148,142,447
10104,Asquith,6160,3715,3387,122,2300,63,673
10105,Atholwood,68,16,28,0,1406,0,14
10106,Attunga,542,148,287,6,1428,11,60
10107,Auburn (NSW),39333,19878,15017,1719,1533,99,1809
10108,Auburn Vale,127,49,69,0,1812,0,19
10109,Austinmer,2725,1552,1370,53,2586,58,490
10110,Austral,6847,2999,3082,131,2168,35,303
10111,Austral Eden,145,27,71,0,1375,4,14
10112,Avalon Beach,10379,5861,5153,187,2481,162,1610
10113,Avisford,45,7,14,0,1124,6,3
10114,Avoca (NSW),208,94,114,0,2250,0,32
10115,Avoca Beach,4708,2298,2377,62,2358,95,733
10116,Avon (NSW),0,0,0,0,0,0,0
10117,Avondale (NSW),1695,555,801,30,1524,28,151
10118,Avonside,157,78,96,0,2250,0,30
10119,Awaba,430,126,224,12,1726,7,57
10120,Aylmerton,195,78,124,4,1825,5,22
10121,Baan Baa,166,36,76,10,1770,3,17
10122,Babinda (NSW),14,3,6,0,1875,4,6
10123,Babyl Creek,4,0,4,0,575,0,0
10124,Back Creek (Bland - NSW),54,13,22,0,2250,0,13
10125,Back Creek (Gwydir - NSW),20,3,9,0,2250,0,4
10126,Back Creek (Mid-Coast - NSW),20,6,7,0,1375,0,5
10127,Back Creek (Queanbeyan-Palerang Regional - NSW),7,3,3,0,900,0,3
10128,Back Creek (Tenterfield - NSW),4,0,0,0,575,5,0
10129,Back Creek (Tweed - NSW),27,6,14,0,1062,0,0
10130,Back Forest,91,50,46,0,1374,3,16
10131,Backmede,153,54,80,0,1843,4,23
10132,Backwater,19,9,8,0,900,0,0
10133,Badgerys Creek,168,38,58,0,1271,6,9
10134,Badja,9,7,4,0,1187,0,6
10135,Baerami,93,21,39,0,1208,3,8
10136,Baerami Creek,27,4,17,0,1416,0,5
10137,Bagnoo,43,12,23,0,1437,0,8
10138,Bago,45,12,17,0,2083,0,0
10139,Bagotville,60,17,36,0,1749,0,8
10140,Bakers Creek (Mid-Coast - NSW),41,14,16,0,1375,0,6
10141,Bakers Creek (Nambucca Valley - NSW),24,3,6,0,366,0,3
10142,Bakers Creek (Uralla - NSW),13,3,12,0,1937,0,3
10143,Bakers Swamp,60,29,29,0,1791,0,11
10144,Balaclava (NSW),574,221,298,7,2023,18,58
10145,Balala,122,42,59,0,1375,9,30
10146,Balcolyn,1002,312,450,32,1525,30,108
10147,Bald Blair,53,12,28,0,1416,3,10
10148,Bald Hills (NSW),321,106,167,0,1487,11,64
10149,Bald Nob,20,8,12,0,1375,0,15
10150,Bald Ridge,17,5,7,0,1574,0,0
10151,Baldersleigh,55,21,31,0,1562,0,13
10152,Baldry,67,19,38,0,1625,0,14
10153,Balfours Peak,45,12,18,0,1012,0,6
10154,Balgowlah,8068,4931,4390,139,2681,117,1187
10155,Balgowlah Heights,3546,2104,1744,69,4687,50,652
10156,Balgownie,5722,2513,2735,99,1912,105,682
10157,Balickera,18,0,12,0,2749,0,0
10158,Balladoran,140,31,64,0,1350,0,23
10159,Ballalaba,29,10,10,0,1125,0,3
10160,Balldale,168,32,59,0,1218,7,23
10161,Ballengarra,97,38,57,0,1483,8,14
10162,Ballimore,240,80,129,3,1857,3,49
10163,Ballina,9735,3240,3670,147,1013,390,1182
10164,Ballyroe,3,0,0,0,725,0,0
10165,Balmain,10454,6789,5942,238,3039,153,1654
10166,Balmain East,1900,1274,1024,41,3020,34,319
10167,Balmoral (Lake Macquarie - NSW),730,293,386,20,1931,18,74
10168,Balmoral (Wingecarribee - NSW),469,148,272,9,2147,14,53
10169,Balranald,1240,324,549,20,1197,20,284
10170,Bamarang,35,17,21,0,949,0,13
10171,Banda Banda,0,0,0,0,0,0,0
10172,Bandon Grove,135,42,68,0,1624,0,27
10173,Bangadang,11,6,3,0,1499,0,4
10174,Bangalee (NSW),818,344,405,12,2181,56,116
10175,Bangalow,2752,1336,1366,45,2097,28,426
10176,Bangheet,37,14,25,0,1562,0,10
10177,Bango,122,53,64,0,2625,5,22
10178,Bangor (NSW),5536,2657,2845,72,2626,108,708
10179,Banksia,3277,1688,1575,94,2018,21,243
10180,Banksmeadow,508,319,286,10,2225,7,36
10181,Bankstown,34933,17509,12794,1326,1331,92,1617
10182,Bankstown Aerodrome,5,0,3,0,1999,0,0
10183,Bannaby,47,11,31,0,1125,4,10
10184,Bannister (NSW),141,47,80,0,2250,6,30
10185,Banoon,19,10,13,0,1208,0,5
10186,Banora Point,16460,5787,7073,301,1268,623,1738
10187,Banyabba,31,3,14,0,1312,0,3
10188,Bar Beach,1292,797,753,41,2300,28,202
10189,Bar Point,122,54,41,4,1125,3,15
10190,Bara,19,9,11,0,1125,0,0
10191,Baradine,783,148,288,12,1034,15,96
10192,Barangaroo,220,156,128,3,4591,0,26
10193,Barcoongere,0,0,0,0,0,0,0
10194,Barden Ridge,4129,2050,2393,62,3134,48,435
10195,Bardia,5747,2983,2724,135,2417,43,309
10196,Bardwell Park,2320,1328,1181,46,2386,33,231
10197,Bardwell Valley,2344,1167,1037,45,2099,31,183
10198,Barellan,459,108,222,9,1262,9,107
10199,Bargo,4516,1252,2155,77,1736,101,410
10200,Barham,1569,436,671,21,995,56,296
10201,Barigan,0,0,0,0,0,0,0
10202,Barkers Vale,196,98,58,3,784,6,35
10203,Barmedman,404,103,139,3,864,14,81
10204,Barneys Reef,0,0,0,0,0,0,0
10205,Barnsley,1735,430,953,41,1784,35,124
10206,Barooga,1888,596,899,28,1375,52,280
10207,Barraba,1329,326,464,34,776,44,261
10208,Barrack Heights,6003,1694,2571,151,1340,99,382
10209,Barrack Point,725,258,350,14,1836,10,86
10210,Barraganyatti,150,53,53,5,1149,9,16
10211,Barragga Bay,91,48,42,4,1187,3,33
10212,Barratta (NSW),12,6,7,0,2249,0,0
10213,Barren Grounds,0,0,0,0,0,0,0
10214,Barrengarry,214,108,111,4,2062,11,58
10215,Barretts Creek,12,0,8,0,749,0,5
10216,Barringella,30,10,22,0,2624,0,0
10217,Barrington (NSW),394,112,161,0,1262,15,78
10218,Barrington Tops,0,0,0,0,350,0,0
10219,Barry (Blayney - NSW),153,49,87,5,1437,9,20
10220,Barry (Tamworth Regional - NSW),0,0,0,0,0,0,0
10221,Barwang,139,62,72,3,1875,3,31
10222,Baryulgil,20,0,0,0,725,0,3
10223,Basin View,1583,476,676,34,1244,79,181
10224,Bass Hill,10230,3983,3269,283,1411,65,504
10225,Bassendean (NSW),5,4,5,0,0,0,0
10226,Batar Creek,93,41,39,0,2071,0,25
10227,Bateau Bay,12516,4409,5472,232,1475,266,1118
10228,Batehaven,1911,604,733,44,1128,69,245
10229,Batemans Bay,1573,448,545,31,791,53,152
10230,Bathampton,40,22,24,0,1625,0,8
10231,Bathurst,7001,3200,3538,198,1209,173,914
10232,Batlow,1270,345,534,29,1064,29,171
10233,Baulkham Hills,37415,20898,18875,836,2474,451,3895
10234,Baw Baw (NSW),271,117,139,3,2178,10,42
10235,Bawley Point,844,365,324,13,1240,34,173
10236,Baxters Ridge,0,0,0,0,0,0,0
10237,Bayview (NSW),3807,2084,1505,59,1885,94,582
10238,Beacon Hill,7814,4168,4193,130,2937,119,955
10239,Beaconsfield (NSW),1172,860,853,16,3061,23,102
10240,Bean Creek,56,12,22,0,762,0,13
10241,Bearbong,72,17,34,0,1437,0,12
10242,Beaumont (NSW),117,75,58,6,1875,6,44
10243,Beaumont Hills,9041,5235,5078,219,3308,107,890
10244,Beckom,123,35,65,0,1125,3,36
10245,Bective,194,70,115,3,1575,3,31
10246,Bectric,53,9,24,0,1208,0,11
10247,Bedgerabong,127,34,61,0,1375,4,23
10248,Beechwood,914,292,445,23,1516,25,98
10249,Beecroft,10291,6350,5038,214,2962,182,1780
10250,Beecroft Peninsula,0,0,0,0,725,0,0
10251,Beelbangera,358,90,182,0,1786,4,36
