state,offence_category,subcategory,2025_population,2026_population,month,incident_count
NSW,Homicide,Murder *,8479314,8479314,1995-01-01,9
NSW,Homicide,Attempted murder,8479314,8479314,1995-01-01,1
NSW,Homicide,"Murder accessory, conspiracy",8479314,8479314,1995-01-01,0
NSW,Homicide,Manslaughter *,8479314,8479314,1995-01-01,0
NSW,Assault,Domestic violence related assault,8479314,8479314,1995-01-01,613
NSW,Assault,Non-domestic violence related assault,8479314,8479314,1995-01-01,2415
NSW,Assault,Assault Police,8479314,8479314,1995-01-01,195
NSW,Sexual offences,Sexual assault,8479314,8479314,1995-01-01,235
NSW,Sexual offences,"Sexual touching, sexual act and other sexual offences",8479314,8479314,1995-01-01,394
NSW,Abduction and kidnapping,,8479314,8479314,1995-01-01,15
NSW,Robbery,Robbery without a weapon,8479314,8479314,1995-01-01,413
NSW,Robbery,Robbery with a firearm,8479314,8479314,1995-01-01,84
NSW,Robbery,Robbery with a weapon not a firearm,8479314,8479314,1995-01-01,178
NSW,Blackmail and extortion,,8479314,8479314,1995-01-01,1
NSW,Coercive Control,,8479314,8479314,1995-01-01,0
NSW,"Intimidation, stalking and harassment",,8479314,8479314,1995-01-01,346
NSW,Other offences against the person,,8479314,8479314,1995-01-01,96
NSW,Theft,Break and enter dwelling,8479314,8479314,1995-01-01,4988
NSW,Theft,Break and enter non-dwelling,8479314,8479314,1995-01-01,3629
NSW,Theft,Receiving or handling stolen goods,8479314,8479314,1995-01-01,418
NSW,Theft,Motor vehicle theft,8479314,8479314,1995-01-01,3858
NSW,Theft,Steal from motor vehicle,8479314,8479314,1995-01-01,4447
NSW,Theft,Steal from retail store,8479314,8479314,1995-01-01,1658
NSW,Theft,Steal from dwelling,8479314,8479314,1995-01-01,2298
NSW,Theft,Steal from person,8479314,8479314,1995-01-01,827
NSW,Theft,Stock theft,8479314,8479314,1995-01-01,74
NSW,Theft,Fraud,8479314,8479314,1995-01-01,1257
NSW,Theft,Other theft,8479314,8479314,1995-01-01,3915
NSW,Arson,,8479314,8479314,1995-01-01,268
NSW,Malicious damage to property,,8479314,8479314,1995-01-01,6178
NSW,Drug offences,Possession and/or use of cocaine,8479314,8479314,1995-01-01,8
NSW,Drug offences,Possession and/or use of narcotics,8479314,8479314,1995-01-01,109
NSW,Drug offences,Possession and/or use of cannabis,8479314,8479314,1995-01-01,663
NSW,Drug offences,Possession and/or use of amphetamines,8479314,8479314,1995-01-01,51
NSW,Drug offences,Possession and/or use of ecstasy,8479314,8479314,1995-01-01,3
NSW,Drug offences,Possession and/or use of other drugs,8479314,8479314,1995-01-01,25
NSW,Drug offences,"Dealing, trafficking in cocaine",8479314,8479314,1995-01-01,3
NSW,Drug offences,"Dealing, trafficking in narcotics",8479314,8479314,1995-01-01,21
NSW,Drug offences,"Dealing, trafficking in cannabis",8479314,8479314,1995-01-01,58
NSW,Drug offences,"Dealing, trafficking in amphetamines",8479314,8479314,1995-01-01,27
NSW,Drug offences,"Dealing, trafficking in ecstasy",8479314,8479314,1995-01-01,0
NSW,Drug offences,"Dealing, trafficking in other drugs",8479314,8479314,1995-01-01,6
NSW,Drug offences,Cultivating cannabis,8479314,8479314,1995-01-01,343
NSW,Drug offences,Manufacture drug,8479314,8479314,1995-01-01,0
NSW,Drug offences,Importing drugs,8479314,8479314,1995-01-01,1
NSW,Drug offences,Other drug offences,8479314,8479314,1995-01-01,179
NSW,Prohibited and regulated weapons offences,,8479314,8479314,1995-01-01,275
NSW,Disorderly conduct,Trespass,8479314,8479314,1995-01-01,252
